n_qubits,trial,fidelity,runtime,n_layers
2,0,0.2560963048571257,0.0003972053527832031,1
2,1,0.009482123523376225,0.00014328956604003906,1
2,2,0.5145072089549059,5.7220458984375e-05,1
2,3,0.24292196848817113,9.322166442871094e-05,1
2,4,0.20258975926935538,7.987022399902344e-05,1
2,5,0.426662172950762,3.409385681152344e-05,1
2,6,0.019406269767927656,2.6941299438476562e-05,1
2,7,0.03315735907843363,2.4080276489257812e-05,1
2,8,0.13047279334448672,2.193450927734375e-05,1
2,9,0.29655628087152636,2.1457672119140625e-05,1
3,0,0.0887492140259769,2.288818359375e-05,1
3,1,0.014819405167798403,2.1457672119140625e-05,1
3,2,0.15584529180708073,2.3126602172851562e-05,1
3,3,0.018639557548486313,2.0503997802734375e-05,1
3,4,0.0252615401566918,1.9788742065429688e-05,1
3,5,0.013965572326232259,2.1219253540039062e-05,1
3,6,0.08606640138205189,2.0265579223632812e-05,1
3,7,0.056863287672479924,2.1219253540039062e-05,1
3,8,0.04581164998193955,2.5272369384765625e-05,1
3,9,0.16870675368587762,2.2649765014648438e-05,1
4,0,0.10361846363378097,2.2172927856445312e-05,1
4,1,0.10807148924041254,0.000118255615234375,1
4,2,0.023774559187328233,5.936622619628906e-05,1
4,3,0.03820060577010498,3.075599670410156e-05,1
4,4,0.1254811204880493,2.6941299438476562e-05,1
4,5,0.043898811351000926,2.6464462280273438e-05,1
4,6,0.11644415578685208,2.574920654296875e-05,1
4,7,0.17655049309887158,2.4080276489257812e-05,1
4,8,0.060052255923460064,2.3365020751953125e-05,1
4,9,0.011899362360541605,2.3126602172851562e-05,1
5,0,0.006048185725359681,2.5033950805664062e-05,1
5,1,0.00796691743413564,2.47955322265625e-05,1
5,2,0.14159391011111752,2.3126602172851562e-05,1
5,3,0.06886605816305962,2.3126602172851562e-05,1
5,4,0.010146745713089744,2.3365020751953125e-05,1
5,5,0.06610626258609237,2.2649765014648438e-05,1
5,6,0.005655072144245352,2.193450927734375e-05,1
5,7,0.06151471034792906,2.3365020751953125e-05,1
5,8,0.12981535214120243,2.3603439331054688e-05,1
5,9,0.03282512245389353,2.0265579223632812e-05,1
6,0,0.0003923641795236731,2.5272369384765625e-05,1
6,1,0.004822406350518788,2.2411346435546875e-05,1
6,2,0.017885077042596703,2.7179718017578125e-05,1
6,3,0.0001698858173341366,2.0742416381835938e-05,1
6,4,0.0006531988415972805,2.1696090698242188e-05,1
6,5,0.01842239471843434,2.1696090698242188e-05,1
6,6,0.019692480564921556,2.1696090698242188e-05,1
6,7,0.00525716960550507,2.1219253540039062e-05,1
6,8,0.01307896339228905,2.1696090698242188e-05,1
6,9,0.04509428535527176,2.2172927856445312e-05,1
7,0,0.0029439046889921886,2.6226043701171875e-05,1
7,1,0.004548105637192547,2.3365020751953125e-05,1
7,2,0.006360361744383898,0.00021266937255859375,1
7,3,0.0017145008250448372,0.00010609626770019531,1
7,4,0.014008352604516503,8.678436279296875e-05,1
7,5,0.0031812382540833675,7.677078247070312e-05,1
7,6,0.00787058797430864,7.224082946777344e-05,1
7,7,0.004512479691698856,7.200241088867188e-05,1
7,8,0.03785710001847216,7.05718994140625e-05,1
7,9,0.0173156132838634,6.699562072753906e-05,1
8,0,0.006204171290825915,8.034706115722656e-05,1
8,1,0.018111622023778792,8.177757263183594e-05,1
8,2,0.007424599179985333,8.273124694824219e-05,1
8,3,0.010920989898032698,9.083747863769531e-05,1
8,4,0.010283095375334641,7.414817810058594e-05,1
8,5,0.005290342909799292,7.05718994140625e-05,1
8,6,0.0035798768982000543,7.82012939453125e-05,1
8,7,0.005266358090728736,7.367134094238281e-05,1
8,8,0.0021361736949766182,7.62939453125e-05,1
8,9,0.002305804080653433,7.534027099609375e-05,1
